,name,categories,latitude,longitude,Postal Code,locality,Neighborhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
63,RBC Royal Bank,ATM,49.263432,-123.115327,V5Z,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
78,Td Bank,ATM,49.262984,-123.115532,V5Z,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
93,TD Canada Trust Branch and ATM,ATM,49.254786,-123.115563,V5Z,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
108,President's Choice Financial ATM,ATM,49.263701,-123.123541,V5Z,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
123,TD Canada Trust Branch and ATM,ATM,49.248676,-123.125097,V5Z,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
138,TD Canada Trust ATM,ATM,49.248552,-123.125492,V5Z,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
153,TD Bank Financial Group,ATM,49.285909,-123.140201,V6G,Vancouver,"N W West End, Stanley Park",3,Supermarket,ATM,Mall,Gas Station,Train Station
168,TD Canada Trust ABM,ATM,49.287983,-123.134944,V6G,Vancouver,"N W West End, Stanley Park",3,Supermarket,ATM,Mall,Gas Station,Train Station
183,RBC Royal Bank,ATM,49.290005,-123.137956,V6G,Vancouver,"N W West End, Stanley Park",3,Supermarket,ATM,Mall,Gas Station,Train Station
198,RBC Royal Bank ATM,ATM,49.285572,-123.11186,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
213,RBC Royal Bank,ATM,49.285305,-123.11346,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
228,TD Bank Financial Group,ATM,49.282293,-123.107362,V6B,Vancouver,"N E Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown",2,Train Station,Supermarket,ATM,Mall,Gas Station
